temp,k,A,kappa,rho_l_pred,rho_g_pred,rho_l_calc,rho_g_calc,p_l,p_g,delta_p,radius,sigma,interface,spurious_current
0.8,0.16,-0.11569999903440475,0,6.7644704,0.838834226,6.784764,0.8369869,0.3107144,0.28709254,0.023621857,29.90878822570048,0.7065011234843214,4.369578762224542,0.0016248816
0.8,0.16,-0.11569999903440475,0,6.7644704,0.838834226,6.784764,0.83698666,0.3107144,0.28709245,0.023621947,29.909247711082095,0.7065146514775038,4.369709742715713,0.0016254571
0.8,0.16,-0.11569999903440475,0,6.7644704,0.838834226,6.784764,0.8369862,0.3107144,0.28709236,0.023622036,29.90974092733468,0.7065289763446965,4.369843149213924,0.0016262078
0.8,0.16,-0.11569999903440475,0,6.7644704,0.838834226,6.784763,0.8369856,0.3107131,0.2870922,0.023620903,29.91022321867858,0.706506496071803,4.369961911350924,0.0016266905
0.8,0.16,-0.11569999903440475,0,6.7644704,0.838834226,6.7847633,0.83698535,0.3107149,0.28709218,0.023622721,29.910683084010515,0.7065717343834544,4.370062574931396,0.0016275537
0.8,0.16,-0.11569999903440475,0,6.7644704,0.838834226,6.7847624,0.836985,0.31071413,0.2870921,0.023622036,29.911158906391837,0.7065624718970037,4.370156070312142,0.001628112
0.8,0.16,-0.11569999903440475,0,6.7644704,0.838834226,6.7847605,0.83698463,0.3107109,0.287092,0.023618907,29.91164303369586,0.7064803071445707,4.370236931560196,0.0016289343
0.8,0.16,-0.11569999903440475,0,6.7644704,0.838834226,6.7847605,0.83698404,0.3107109,0.28709185,0.023619056,29.91212304027743,0.7064961016289243,4.370304209871108,0.0016294165
0.8,0.16,-0.11569999903440475,0,6.7644704,0.838834226,6.7847614,0.836984,0.31071192,0.28709185,0.023620069,29.912589301483276,0.7065374240757519,4.370348480627396,0.0016304043
0.8,0.16,-0.11569999903440475,0,6.7644704,0.838834226,6.7847614,0.8369832,0.3107131,0.28709167,0.02362144,29.913079815978826,0.7065900181074166,4.370384634102702,0.0016311447
0.8,0.16,-0.11569999903440475,0,6.7644704,0.838834226,6.7847633,0.83698297,0.3107144,0.2870916,0.023622781,29.91356429788492,0.7066415794835742,4.370398432612742,0.0016326847
0.8,0.16,-0.11569999903440475,0,6.7644704,0.838834226,6.7847605,0.8369825,0.31071135,0.2870915,0.02361986,29.91406051731263,0.7065659337358666,4.370392593747681,0.0016346079
0.8,0.16,-0.11569999903440475,0,6.7644704,0.838834226,6.7847595,0.836982,0.3107109,0.2870914,0.023619503,29.91457082576257,0.7065672888660145,4.370365959572997,0.0016364134
0.8,0.16,-0.11569999903440475,0,6.7644704,0.838834226,6.7847605,0.83698153,0.31071135,0.28709126,0.023620099,29.91508338531693,0.7065972260470211,4.3703107964559855,0.0016383483
0.8,0.16,-0.11569999903440475,0,6.7644704,0.838834226,6.78476,0.8369813,0.31071013,0.2870912,0.023618937,29.9155984913192,0.7065746222835867,4.370223478333919,0.0016404664
0.8,0.16,-0.11569999903440475,0,6.7644704,0.838834226,6.78476,0.83698094,0.31071013,0.28709114,0.023618996,29.916311260697487,0.7065932402894048,4.370112020627609,0.0016424578
0.8,0.16,-0.11569999903440475,0,6.7644704,0.838834226,6.7847595,0.8369805,0.31071013,0.28709105,0.023619086,29.917071615172638,0.7066138738934605,4.36996805821698,0.0016445109
